space,building_passport_naming,region,region_district,settlement,settlement_district,address,cadastral_no,inventory_number,intended_purpose,property_category,series_project_type,number_of_floors,building_footprint,building_volume,total_area,balcony_loggia_area,living_area,non_residential_area,apartments_number,total_rooms,wall_material,year_built,physical_wear_tear,registry_number,passport_prepared,signer_name,lat,lon,year_commissioned,year_last_major_repair,building_class,floors_above,floors_below,structural_scheme,fire_resistance_degree,functional_fire_class ,structural_fire_class ,seismic_points,energy_class,design_occupancy,owner_party,operator_party,designer_party,builder_party,commissioning_act_no,attrs
man,Технический паспорт (Ф-2),,,г. Астана,р-н Алматы,"пр. Ракымжан Кошкарбаев, зд 1/2",21:318:081:967:1,294766,бизнес-центр(А),нежилой,,4+тех.этаж,618.5,10129,2484.1,-1,-1,2484.1,-1,79,газоблоки,2017,0.00%,заказ 002128614332,2017-12-27,Басканбаев Д.Б.,51.129033,71.464755,,,A,5,0,монолит,,,,,,,130140009766,180540035878,,,,
bos,Технический паспорт (Ф-2),,,г. Астана,р-н Алматы,"пр. Ракымжан Кошкарбаев, зд 1/3",21:318:081:967:1,297945,бизнес-центр(А),нежилой,,4+тех.этаж,616.3,9984,2468.7,-1,-1,2468.7,-1,70,газоблоки,2017,0.00%,заказ 002143981408,2018-06-28,Кудериев Е.М.,51.129033,71.464491,,,A,5,0,монолит,,,,,,,130140009766,180540035878,,,,
tok,,,,г. Астана,р-н Алматы,"пр. Ракымжан Кошкарбаев, зд 1а",,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,,1900,,,1900-01-01,,51.129033,71.464491,,,A,7,0,монолит,,,,,,,130140009766,180540035878,,,,
dub,,,,г. Астана,р-н Алматы,"пр. Ракымжан Кошкарбаев, зд 1/4",,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,,1900,,,1900-01-01,,51.129033,71.464491,,,A,7,0,монолит,,,,,,,130140009766,180540035878,,,,
gen,,,,г. Астана,р-н Алматы,"пр. Ракымжан Кошкарбаев, зд 1/5",,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,,1900,,,1900-01-01,,51.129033,71.464491,,,A,7,0,монолит,,,,,,,130140009766,180540035878,,,,
