parent,name,short_name,description,code,is_leaf
Водоснабжение,Резервуары запаса хозяйственно-питьевой воды,,,DWT,TRUE
Водоснабжение,Термическая дезинфекция ГВС / защита от легионеллы,,,LEG,TRUE
Канализация,Внутренние водостоки с кровли (в т.ч. сифонные),,,IRD,TRUE
Обнаружение,Пожарная сигнализация,,,FAS,TRUE
Обнаружение,Аспирационные извещатели,,,ASD,TRUE
Тушение,Спринклерное пожаротушение,,,SPR,TRUE
Тушение,Газовое пожаротушение,,,GFS,TRUE
Тушение,Внутренний противопожарный водопровод,,,FHR,TRUE
Тушение,Насосная станция пожаротушения,,,FPR,TRUE
Тушение,Наружные гидранты,,,FH,TRUE
Оповещение,СОУЭ (оповещение и управление эвакуацией),,,PAVA,TRUE
Противодымная защита,Дымоудаление,,,SES,TRUE
Противодымная защита,"Подпор воздуха (лестницы, лифты)",,,SLP,TRUE
Противодымная защита,Огнезадерживающие клапаны,,,FSD,TRUE
Тушение,Резервуары противопожарного запаса воды,,,FWT,TRUE
Тушение,Дренчерные (водяные) завесы,,,DWC,TRUE
Тушение,Локальное тушение кухонного оборудования,,,KHS,TRUE
Пассивная защита,Огнезащита конструкций и герметизация проходок,,,PFP,TRUE
Пассивная защита,Противопожарные шторы и двери,,,FDC,TRUE
Оповещение,Связь с зонами безопасности МГН,,,DRS,TRUE
Управление,Пожарный пост / ЦПУ систем противопожарной защиты,,,FCC,TRUE
Тушение,Первичные средства пожаротушения (огнетушители),,,PFE,TRUE
Тушение,Пожаротушение тонкораспылённой водой,,,WMS,TRUE
Тушение,"Пенное пожаротушение (ДГУ, топливохранилище)",,,FSP,TRUE
Тушение,Сухотрубы для пожарных подразделений,,,DRR,TRUE
Обнаружение,Передача сигнала о пожаре на пульт пожарной охраны (ЦОУ МЧС),,,FAT,TRUE
Пассивная защита,Фотолюминесцентная эвакуационная система (ФЭС),,,PES,TRUE
Кабельная инфраструктура,Структурированная кабельная система,,,SCS,TRUE
Кабельная инфраструктура,Магистральные оптические линии,,,FOB,TRUE
Сети передачи данных,Локальная сеть,,,LAN,TRUE
Сети передачи данных,Беспроводная сеть,,,WLAN,TRUE
Сети передачи данных,Телефония,,,VoIP,TRUE
Помещения связи,Серверная,,,SR,TRUE
Помещения связи,Главный и промежуточные кроссы,,,MDF/IDF,TRUE
Трансляция,Телевидение,,,TV,TRUE
Трансляция,Радиофикация,,,RBS,TRUE
Трансляция,Часофикация,,,MCS,TRUE
Связь,Усиление сотовой связи,,,DAS,TRUE
Связь,Радиосвязь пожарных и аварийных служб,,,ERRC,TRUE
Трансляция,Фоновое озвучивание / музыка (общие зоны),,,BGM,TRUE
Помещения связи,Телеком-вводы и помещение операторов связи,,,MMR,TRUE
Связь,"Индукционные системы для слабослышащих (ресепшн, конференц-залы)",,,ALS,TRUE
Видеонаблюдение,Система видеонаблюдение,,,CCTV,TRUE
Видеонаблюдение,Видеоаналитика,,,VA,TRUE
Контроль доступа,СКУД,,,ACS,TRUE
Контроль доступа,Турникеты / скоростные проходы,,,TSG,TRUE
Контроль доступа,Домофония / переговорные устройства,,,ICS,TRUE
Сигнализация,Охранная сигнализация,,,IAS,TRUE
Сигнализация,Тревожная кнопка,,,PDA,TRUE
Периметр,Периметральная охрана,,,PSS,TRUE
Досмотр,"Металлодетекторы, рентген",,,SCR,TRUE
Парковка,Парковочная система (шлагбаумы),,,PMS,TRUE
Парковка,Распознавание номеров,,,LPR,TRUE
Парковка,Навигация по парковке,,,PGS,TRUE
Управление,Ситуационный центр / интеграция систем безопасности,,,PSIM,TRUE
Контроль доступа,Управление посетителями (гостевые пропуска),,,VMS,TRUE
Контроль доступа,Электронная ключница,,,KMS,TRUE
Периметр,Противотаранные устройства / болларды,,,RBL,TRUE
Досмотр,Досмотр днища автомобилей,,,UVIS,TRUE
Управление безопасностью,Контроль обхода территории охраной,,,GTS,TRUE
Сигнализация,Кнопки вызова помощи в санузлах МГН,,,ATA,TRUE
Видеонаблюдение,"Подсчёт посетителей (входные группы, ритейл)",,,PCS,TRUE
Управление зданием,Автоматизация и диспетчеризация,,,BMS,TRUE
Управление зданием,Интеграционная платформа,,,IBMS,TRUE
Энергоучёт,"Учёт энергоресурсов (тепло, вода, электро)",,,EnMS,TRUE
Мониторинг,Мониторинг качества воздуха,,,IAQ,TRUE
Мониторинг,Контроль CO в паркинге,,,COM,TRUE
Мониторинг,Мониторинг протечек,,,LDS,TRUE
Мониторинг,Метеостанция (данные для BMS),,,WST,TRUE
Цифровые сервисы,Мобильное приложение здания для арендаторов,,,TEA,TRUE
Мониторинг,"Контроль загазованности (котельная, кухни)",,,GLD,TRUE
Управление зданием,Выделенная сеть и кибербезопасность инженерных систем,,,OTN,TRUE
Управление зданием,"Автоматическое управление солнцезащитой (жалюзи, рольшторы)",,,ASC,TRUE
Мониторинг,Структурный мониторинг здания (для высотных БЦ),,,SHM,TRUE
Мониторинг,"Контроль утечек хладагента (VRF, чиллерные)",,,RLD,TRUE
Цифровые сервисы,"Система управления эксплуатацией и ТО (заявки, ППР)",,,CMMS,TRUE
Цифровые сервисы,Цифровой двойник / BIM-модель для эксплуатации,,,DT,TRUE
Лифты,Пассажирские лифты,,,PE,TRUE
Лифты,Грузовые / сервисные лифты,,,FE,TRUE
Лифты,Пожарные лифты,,,FFL,TRUE
Лифты,Система управления лифтами,,,DCS,TRUE
Эскалаторы,Лестничные эскалаторы,,,ESC,TRUE
Эскалаторы,Травалаторы,,,TRV,TRUE
Доступность,Подъёмники для МГН,,,PL,TRUE
Лифты,Диспетчеризация и переговорная связь лифтов,,,EMI,TRUE
Лифты,Автомобильные лифты / механизированный паркинг,,,APS,TRUE
